department_id,department_name,subdepartment_id,subdepartment_name,kpi_ref_number,kpi_owner_id,kpi,unit_of_measurement,mscore_classification_id,idp_ref,national_outcome_id,strategic_objective_id,source_of_evidence,baseline,annual_target,revised_target,budget,kpa_id,kpa_name,ndp_objective_id,kpi_concept_id,risk_rating_id,kpi_type_id,impact,provincial_strategic_outcome_id,ward_id,area_id,past_year_performance,reporting_category_id,top_layer_kpi_ref,kpi_calculation_type_id
1,Municipal Manager's Office,1,Municipal Manager's Office,MM01,Access to clean running water,% of Households accessing water,13,,1,1,Billing Report,30696 HH,100,,,3,Basic Service Delivery,1,3,4,2,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM02,Access to sustainable electricity,% of Households accessing electricity,12,,10,3,Billing Report,28045 HH,100,,,3,Basic Service Delivery,1,2,4,2,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM03,Access to sustainable sanitation,% of household with access to sanitation,14,,6,1,Billing Report,9789 HH,100,,,3,Basic Service Delivery,1,2,4,3,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM04,Provision of  solid waste removal services,% of households accessing solid waste removal,15,,6,1,Billing Report,30567 HH,100,,,3,Basic Service Delivery,1,4,4,2,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM05,% of Indigent Households have access tofree basic Water,% of Indigent Households have access tofree basic Water,13,,5,1,Billing Report,1043,100,,,3,Basic Service Delivery,1,3,4,2,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM06,% of Indigent Households have access tofree basic sanitation,% of Indigent Households have access tofree basic sanitation,12,,1,1,Billing Report,1043,100,,,3,Basic Service Delivery,1,1,4,2,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM07,% of Indigent Households have access tofree basic sanitation,% of Indigent Households have access tofree basic sanitation,15,,6,3,Billing Report,1043,100,,,3,Basic Service Delivery,1,4,4,4,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM08,% of Indigent Households have access tofree basic sanitation,% of Indigent Households have access tofree basic sanitation,3,,8,1,Billing Report,1043,100,,,3,Basic Service Delivery,1,2,4,3,Compliance with Constitutional Manadate,,1,1,,1,,1
1,Municipal Manager's Office,1,Municipal Manager's Office,MM09,Number of People for Employment Equity Target Groups employed in the Three highest level of Management in compliance with approved EEP,Number of People from Employment Equity Target Groups employed in the Three highest level of Management,2,,1,1,Employment Equity Plan and Appointment Letters,4,100,,,2,Municipal Transformation and Institutional Development,1,3,4,2,Addressing previous disadvantaged individuals in the workpalce,,1,1,,1,,3
1,Municipal Manager's Office,1,Municipal Manager's Office,MM10,% of municipality's budget actually spent on implementaing workplace skills plan,% of municipality's budget actually spent on implementaing workplace skills plan,2,,1,1,"Approved Work Skills Plan,  attendance registers and certificates.",,100,,,2,Municipal Transformation and Institutional Development,1,3,4,2,Capacity building,,1,1,,1,,1
